event_id,user_key,event_time,event_name,campaign_id,variant,channel,location_id,audience
byte_full_funnel_sale_e_00000,byte_full_funnel_sale_u_0000,2026-06-12T09:00:00,exposure,byte_full_funnel_sale,单件直降,short_video,online_flagship,new_customer
byte_full_funnel_sale_e_00001,byte_full_funnel_sale_u_0001,2026-06-13T10:01:00,exposure,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer
byte_full_funnel_sale_e_00002,byte_full_funnel_sale_u_0001,2026-06-13T10:02:00,landing_view,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer
byte_full_funnel_sale_e_00003,byte_full_funnel_sale_u_0001,2026-06-13T10:03:00,offer_claim,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer
byte_full_funnel_sale_e_00004,byte_full_funnel_sale_u_0001,2026-06-13T10:04:00,activation,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer
byte_full_funnel_sale_e_00005,byte_full_funnel_sale_u_0002,2026-06-14T11:02:00,exposure,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer
byte_full_funnel_sale_e_00006,byte_full_funnel_sale_u_0002,2026-06-14T11:03:00,landing_view,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer
byte_full_funnel_sale_e_00007,byte_full_funnel_sale_u_0002,2026-06-14T11:04:00,offer_claim,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer
byte_full_funnel_sale_e_00008,byte_full_funnel_sale_u_0002,2026-06-14T11:05:00,activation,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer
byte_full_funnel_sale_e_00009,byte_full_funnel_sale_u_0003,2026-06-15T12:03:00,exposure,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer
byte_full_funnel_sale_e_00010,byte_full_funnel_sale_u_0003,2026-06-15T12:04:00,landing_view,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer
byte_full_funnel_sale_e_00011,byte_full_funnel_sale_u_0003,2026-06-15T12:05:00,offer_claim,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer
byte_full_funnel_sale_e_00012,byte_full_funnel_sale_u_0003,2026-06-15T12:06:00,activation,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer
byte_full_funnel_sale_e_00013,byte_full_funnel_sale_u_0004,2026-06-16T13:04:00,exposure,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00014,byte_full_funnel_sale_u_0004,2026-06-16T13:05:00,landing_view,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00015,byte_full_funnel_sale_u_0004,2026-06-16T13:06:00,offer_claim,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00016,byte_full_funnel_sale_u_0005,2026-06-17T14:05:00,exposure,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00017,byte_full_funnel_sale_u_0005,2026-06-17T14:06:00,landing_view,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00018,byte_full_funnel_sale_u_0005,2026-06-17T14:07:00,offer_claim,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00019,byte_full_funnel_sale_u_0005,2026-06-17T14:08:00,activation,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer
byte_full_funnel_sale_e_00020,byte_full_funnel_sale_u_0006,2026-06-18T15:06:00,exposure,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer
byte_full_funnel_sale_e_00021,byte_full_funnel_sale_u_0006,2026-06-18T15:07:00,landing_view,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer
byte_full_funnel_sale_e_00022,byte_full_funnel_sale_u_0007,2026-06-12T16:07:00,exposure,byte_full_funnel_sale,直播组合包,short_video,regional_store,new_customer
byte_full_funnel_sale_e_00023,byte_full_funnel_sale_u_0008,2026-06-13T17:08:00,exposure,byte_full_funnel_sale,单件直降,live_room,regional_store,new_customer
byte_full_funnel_sale_e_00024,byte_full_funnel_sale_u_0008,2026-06-13T17:09:00,landing_view,byte_full_funnel_sale,单件直降,live_room,regional_store,new_customer
byte_full_funnel_sale_e_00025,byte_full_funnel_sale_u_0009,2026-06-14T18:09:00,exposure,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer
byte_full_funnel_sale_e_00026,byte_full_funnel_sale_u_0009,2026-06-14T18:10:00,landing_view,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer
byte_full_funnel_sale_e_00027,byte_full_funnel_sale_u_0009,2026-06-14T18:11:00,offer_claim,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer
byte_full_funnel_sale_e_00028,byte_full_funnel_sale_u_0010,2026-06-15T19:10:00,exposure,byte_full_funnel_sale,单件直降,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00029,byte_full_funnel_sale_u_0010,2026-06-15T19:11:00,landing_view,byte_full_funnel_sale,单件直降,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00030,byte_full_funnel_sale_u_0011,2026-06-16T09:11:00,exposure,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00031,byte_full_funnel_sale_u_0011,2026-06-16T09:12:00,landing_view,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00032,byte_full_funnel_sale_u_0011,2026-06-16T09:13:00,offer_claim,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00033,byte_full_funnel_sale_u_0011,2026-06-16T09:14:00,activation,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer
byte_full_funnel_sale_e_00034,byte_full_funnel_sale_u_0012,2026-06-17T10:12:00,exposure,byte_full_funnel_sale,单件直降,short_video,online_flagship,new_customer
